key,system,case_id,type,difficulty,answer,correct,latency_ms,total_tokens,citation_precision,citation_recall
no_rag:image-01-gateway,no_rag,image-01-gateway,image,hard,档案未提供，无法确定。,False,1812,270,0.0,0.0
no_rag:image-02-code,no_rag,image-02-code,image,easy,档案未提供，无法确定。,False,1351,208,0.0,0.0
no_rag:image-02-gateway,no_rag,image-02-gateway,image,hard,档案未提供，无法确定。,False,1246,202,0.0,0.0
no_rag:image-03-code,no_rag,image-03-code,image,easy,档案未提供，无法确定。,False,970,181,0.0,0.0
no_rag:image-03-gateway,no_rag,image-03-gateway,image,hard,档案未提供，无法确定。,False,1122,197,0.0,0.0
no_rag:image-04-code,no_rag,image-04-code,image,easy,档案未提供，无法确定。,False,1209,211,0.0,0.0
no_rag:image-04-gateway,no_rag,image-04-gateway,image,hard,档案未提供，无法确定。,False,1434,267,0.0,0.0
no_rag:image-05-code,no_rag,image-05-code,image,hard,档案未提供，无法确定。,False,1107,188,0.0,0.0
no_rag:image-05-gateway,no_rag,image-05-gateway,image,medium,档案未提供，无法确定。,False,1601,188,0.0,0.0
no_rag:image-06-code,no_rag,image-06-code,image,medium,档案未提供，无法确定。,False,614,168,0.0,0.0
no_rag:image-06-gateway,no_rag,image-06-gateway,image,easy,档案未提供，无法确定。,False,2481,422,0.0,0.0
no_rag:image-07-code,no_rag,image-07-code,image,easy,档案未提供，无法确定。,False,1230,197,0.0,0.0
no_rag:image-07-gateway,no_rag,image-07-gateway,image,hard,档案未提供，无法确定。,False,2014,310,0.0,0.0
no_rag:image-08-code,no_rag,image-08-code,image,hard,档案未提供，无法确定。,False,2477,379,0.0,0.0
no_rag:image-08-gateway,no_rag,image-08-gateway,image,medium,Harbor 官方架构图中没有“视觉网关”这一标准名称；入口网关/反向代理叫 **Proxy**（通常由 Nginx 实现），Web 界面叫 **Portal**。若你指某份特定项目档案中的“视觉网关”，则档案未提供，无法确定。,False,16632,3488,0.0,0.0
no_rag:image-09-gateway,no_rag,image-09-gateway,image,hard,档案未提供，无法确定。,False,1099,227,0.0,0.0
no_rag:image-10-gateway,no_rag,image-10-gateway,image,easy,档案未提供，无法确定。,False,1923,389,0.0,0.0
no_rag:image-11-gateway,no_rag,image-11-gateway,image,medium,档案未提供，无法确定。,False,967,227,0.0,0.0
no_rag:image-12-gateway,no_rag,image-12-gateway,image,hard,档案未提供，无法确定。,False,1207,202,0.0,0.0
no_rag:refusal-01-budget,no_rag,refusal-01-budget,refusal,hard,档案未提供，无法确定。,True,1126,146,0.0,0.0
no_rag:refusal-01-vendor,no_rag,refusal-01-vendor,refusal,easy,档案未提供，无法确定。,True,973,182,0.0,0.0
no_rag:refusal-02-budget,no_rag,refusal-02-budget,refusal,hard,档案未提供，无法确定。,True,481,128,0.0,0.0
no_rag:refusal-02-vendor,no_rag,refusal-02-vendor,refusal,easy,档案未提供，无法确定。,True,967,138,0.0,0.0
no_rag:refusal-03-budget,no_rag,refusal-03-budget,refusal,hard,档案未提供，无法确定。,True,735,165,0.0,0.0
no_rag:refusal-03-vendor,no_rag,refusal-03-vendor,refusal,easy,档案未提供，无法确定。,True,936,189,0.0,0.0
no_rag:refusal-04-budget,no_rag,refusal-04-budget,refusal,medium,档案未提供，无法确定。,True,982,177,0.0,0.0
no_rag:refusal-04-vendor,no_rag,refusal-04-vendor,refusal,hard,档案未提供，无法确定 Dawn 项目的云厂商。,True,905,162,0.0,0.0
no_rag:refusal-05-budget,no_rag,refusal-05-budget,refusal,easy,档案未提供，无法确定 Ember 项目的预算。,True,782,141,0.0,0.0
no_rag:refusal-05-vendor,no_rag,refusal-05-vendor,refusal,medium,档案未提供，无法确定。,True,1109,190,0.0,0.0
no_rag:refusal-06-budget,no_rag,refusal-06-budget,refusal,hard,档案未提供，无法确定。,True,1091,197,0.0,0.0
no_rag:refusal-06-vendor,no_rag,refusal-06-vendor,refusal,easy,档案未提供，无法确定。,True,1433,159,0.0,0.0
no_rag:refusal-07-budget,no_rag,refusal-07-budget,refusal,medium,档案未提供，无法确定 Grove 项目的预算。,True,769,152,0.0,0.0
no_rag:refusal-07-vendor,no_rag,refusal-07-vendor,refusal,hard,档案未提供，无法确定。,True,873,151,0.0,0.0
no_rag:refusal-08-budget,no_rag,refusal-08-budget,refusal,easy,档案未提供，无法确定。,True,1087,179,0.0,0.0
no_rag:refusal-08-vendor,no_rag,refusal-08-vendor,refusal,medium,档案未提供，无法确定。,True,1316,260,0.0,0.0
no_rag:refusal-09-budget,no_rag,refusal-09-budget,refusal,hard,档案未提供，无法确定。,True,1178,142,0.0,0.0
no_rag:refusal-10-budget,no_rag,refusal-10-budget,refusal,easy,档案未提供，无法确定 Juniper 项目的预算。,True,928,169,0.0,0.0
no_rag:refusal-11-budget,no_rag,refusal-11-budget,refusal,medium,档案未提供，无法确定。,True,899,156,0.0,0.0
no_rag:refusal-12-budget,no_rag,refusal-12-budget,refusal,hard,档案未提供，无法确定。,True,834,172,0.0,0.0
no_rag:table-01-accuracy,no_rag,table-01-accuracy,table,medium,档案未提供，无法确定。,False,937,182,0.0,0.0
no_rag:table-01-latency,no_rag,table-01-latency,table,easy,档案未提供，无法确定。,False,1144,190,0.0,0.0
no_rag:table-02-accuracy,no_rag,table-02-accuracy,table,medium,档案未提供，无法确定。,False,1120,167,0.0,0.0
no_rag:table-02-latency,no_rag,table-02-latency,table,easy,档案未提供，无法确定。,False,1178,165,0.0,0.0
no_rag:table-03-accuracy,no_rag,table-03-accuracy,table,medium,档案未提供，无法确定。,False,889,154,0.0,0.0
no_rag:table-03-latency,no_rag,table-03-latency,table,easy,档案未提供，无法确定。,False,1385,166,0.0,0.0
no_rag:table-04-accuracy,no_rag,table-04-accuracy,table,medium,档案未提供，无法确定。,False,1076,170,0.0,0.0
no_rag:table-04-latency,no_rag,table-04-latency,table,easy,档案未提供，无法确定。,False,955,171,0.0,0.0
no_rag:table-05-accuracy,no_rag,table-05-accuracy,table,easy,档案未提供，无法确定。,False,1078,200,0.0,0.0
no_rag:table-05-latency,no_rag,table-05-latency,table,hard,档案未提供，无法确定。,False,928,168,0.0,0.0
no_rag:table-06-accuracy,no_rag,table-06-accuracy,table,hard,档案未提供，无法确定。,False,1271,225,0.0,0.0
no_rag:table-06-latency,no_rag,table-06-latency,table,medium,档案未提供，无法确定。,False,921,153,0.0,0.0
no_rag:table-07-accuracy,no_rag,table-07-accuracy,table,medium,S-75 没有统一固定的“准确率”，具体命中概率取决于型号、目标、电子干扰和作战环境。若指某项目档案中的指标，档案未提供，无法确定。,False,2675,443,0.0,0.0
no_rag:table-07-latency,no_rag,table-07-latency,table,easy,档案未提供，无法确定。,False,778,130,0.0,0.0
no_rag:table-08-accuracy,no_rag,table-08-accuracy,table,easy,档案未提供，无法确定。,False,1029,151,0.0,0.0
no_rag:table-08-latency,no_rag,table-08-latency,table,hard,档案未提供，无法确定。,False,672,158,0.0,0.0
no_rag:table-09-latency,no_rag,table-09-latency,table,medium,档案未提供，无法确定。,False,876,160,0.0,0.0
no_rag:table-10-latency,no_rag,table-10-latency,table,hard,档案未提供，无法确定。,False,1156,178,0.0,0.0
no_rag:table-11-latency,no_rag,table-11-latency,table,easy,档案未提供，无法确定。,False,959,185,0.0,0.0
no_rag:table-12-latency,no_rag,table-12-latency,table,medium,档案未提供，无法确定。,False,1152,170,0.0,0.0
no_rag:text-01-city,no_rag,text-01-city,text,hard,档案未提供，无法确定。,False,887,155,0.0,0.0
no_rag:text-01-owner,no_rag,text-01-owner,text,easy,档案未提供，无法确定。,False,1267,150,0.0,0.0
no_rag:text-01-release,no_rag,text-01-release,text,medium,档案未提供，无法确定。,False,1188,161,0.0,0.0
no_rag:text-02-owner,no_rag,text-02-owner,text,medium,档案未提供，无法确定。,False,782,155,0.0,0.0
no_rag:text-02-release,no_rag,text-02-release,text,hard,档案未提供，无法确定。,False,1031,150,0.0,0.0
no_rag:text-03-owner,no_rag,text-03-owner,text,medium,档案未提供，无法确定。,False,969,177,0.0,0.0
no_rag:text-03-release,no_rag,text-03-release,text,hard,档案未提供，无法确定。,False,1333,157,0.0,0.0
no_rag:text-04-owner,no_rag,text-04-owner,text,medium,档案未提供，无法确定。,False,1071,223,0.0,0.0
no_rag:text-04-release,no_rag,text-04-release,text,hard,档案未提供，无法确定。,False,649,160,0.0,0.0
no_rag:text-05-owner,no_rag,text-05-owner,text,easy,档案未提供，无法确定。,False,2119,355,0.0,0.0
no_rag:text-05-release,no_rag,text-05-release,text,medium,档案未提供，无法确定。,False,1040,163,0.0,0.0
no_rag:text-06-owner,no_rag,text-06-owner,text,hard,档案未提供，无法确定。,False,1020,190,0.0,0.0
no_rag:text-06-release,no_rag,text-06-release,text,easy,档案未提供，无法确定。,False,939,154,0.0,0.0
no_rag:text-07-owner,no_rag,text-07-owner,text,medium,档案未提供，无法确定。,False,780,166,0.0,0.0
no_rag:text-07-release,no_rag,text-07-release,text,hard,档案未提供，无法确定。,False,806,175,0.0,0.0
no_rag:text-08-owner,no_rag,text-08-owner,text,easy,档案未提供，无法确定。,False,1877,373,0.0,0.0
no_rag:text-08-release,no_rag,text-08-release,text,medium,档案未提供，无法确定。,False,1265,205,0.0,0.0
no_rag:text-09-owner,no_rag,text-09-owner,text,hard,档案未提供，无法确定。,False,819,143,0.0,0.0
no_rag:text-09-release,no_rag,text-09-release,text,easy,档案未提供，无法确定。,False,686,166,0.0,0.0
no_rag:text-10-owner,no_rag,text-10-owner,text,easy,档案未提供，无法确定。,False,1115,165,0.0,0.0
no_rag:text-10-release,no_rag,text-10-release,text,medium,档案未提供，无法确定。,False,769,162,0.0,0.0
no_rag:text-11-owner,no_rag,text-11-owner,text,medium,档案未提供，无法确定。,False,1188,191,0.0,0.0
no_rag:text-11-release,no_rag,text-11-release,text,hard,档案未提供，无法确定。,False,1295,178,0.0,0.0
no_rag:text-12-owner,no_rag,text-12-owner,text,hard,档案未提供，无法确定。,False,1547,283,0.0,0.0
no_rag:text-12-release,no_rag,text-12-release,text,easy,档案未提供，无法确定。,False,1261,218,0.0,0.0
